coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707.0,1801878133.0,2022-03-16,0.003613533841482499,0.004778214460286973,0.0022372185693541225
Maker,MKR,1982.58,0.0289999999999999,0.071,0.129,92847731.0,1772467945.0,2022-03-16,0.048100711182438506,0.0016026198421992472,0.002199319412106104
JUNO,JUNO,38.35,0.018,0.096,-0.03,11491328.0,1747597737.0,2022-03-16,0.0009304352277217143,0.0001983487379569867,0.0021672706566278005
Gala,GALA,0.227781,0.026,0.047,0.037,551763058.0,1714837250.0,2022-03-16,5.5263485067305095e-06,0.00952383451291162,0.002125054168642934
BitTorrent,BTT,1.812224e-06,0.0069999999999999,0.022,0.003,87836205.0,1675881629.0,2022-03-16,4.3931584988527025e-11,0.0015161172328107912,0.0020748543805296036
Arweave,AR,32.52,-0.003,0.074,0.002,50636342.0,1637697784.0,2022-03-16,0.0007889896637627183,0.0008740203508644397,0.002025649134171132
Huobi BTC,HBTC,41217.27,0.026,0.039,0.068,190002.0,1637583015.0,2022-03-16,1.0,3.279573684547459e-06,0.002025501238197866
PancakeSwap,CAKE,5.57,0.026,0.01,-0.068,104112686.0,1530696417.0,2022-03-16,0.00013513752848056654,0.0017970612163722103,0.0018877628468177176
Quant,QNT,112.58,0.018,0.003,0.013,23727064.0,1505335556.0,2022-03-16,0.002731379346534112,0.0004095465032261417,0.0018550818160475591
Harmony,ONE,0.127445,0.025,0.017,-0.012,75144435.0,1499937034.0,2022-03-16,3.092029106149063e-06,0.0012970479866853352,0.0018481250623476205
eCash,XEC,7.9294818e-05,0.019,-0.005,0.144,37446216.0,1497455570.0,2022-03-16,1.9237890816156153e-09,0.0006463491151644721,0.0018449273475169199
Bitcoin SV,BSV,77.11,0.013,0.015,-0.019,135219354.0,1461042552.0,2022-03-16,0.0018708177421386417,0.0023339850897354094,0.0017980040604214096
NEO,NEO,20.13,0.024,0.0279999999999999,-0.017,148274906.0,1406977569.0,2022-03-16,0.0004883875132563783,0.0025593334796283626,0.0017283337375955763
TrueUSD,TUSD,1.0,0.0,0.001,0.001,114862495.0,1404670246.0,2022-03-16,2.4261674742554178e-05,0.00198261079327304,0.001725360427897625
Huobi Token,HT,8.98,0.01,0.009,-0.025,32112940.0,1392164927.0,2022-03-16,0.00021786983947545105,0.0005542928651143224,0.0017092455682708306
KuCoin Token,KCS,18.41,0.0139999999999999,0.009,0.02,8578734.0,1390455505.0,2022-03-16,0.0004466574326372577,0.00014807523222456904,0.0017070427379733426
Celsius Network,CEL,3.18,0.009,0.032,0.098,3927635.0,1346075894.0,2022-03-16,7.715212575981173e-05,6.779385684628351e-05,0.0016498533770656566
Stacks,STX,1.26,0.018,0.026,0.183,44370134.0,1317492670.0,2022-03-16,3.0569710184979385e-05,0.0007658610111801165,0.0016130198790604302
Humans.ai,HEART,0.044270474958,0.025,0.086,-0.547,1852838.0,1309127902.0,2022-03-16,1.0740758297189892e-06,3.1981340967619e-05,0.0016022407008458878
Enjin Coin,ENJ,1.4,0.018,0.05,0.046,133821819.0,1300650179.0,2022-03-16,3.396634465397757e-05,0.0023098626120286797,0.0015913159642518156
Basic Attention Token,BAT,0.822605,0.021,0.055,0.251,324813983.0,1223583998.0,2022-03-16,1.9957774945211794e-05,0.005606527252449162,0.0014920053677937699
NEXO,NEXO,2.19,0.015,0.031,0.098,4583402.0,1222563065.0,2022-03-16,5.3133067729038796e-05,7.911287557447918e-05,0.0014906897522558246
Amp,AMP,0.025036137658,0.018,0.0069999999999999,0.003,8084731.0,1198878147.0,2022-03-16,6.07418593565292e-07,0.000139548378618357,0.00146016840939027
Radix,XRD,0.121859,0.015,0.064,-0.001,215995.0,1198319388.0,2022-03-16,2.956503390836035e-06,3.728231902789594e-06,0.0014594483699534343
Kusama,KSM,126.84,0.025,0.04,0.038,65896976.0,1132594631.0,2022-03-16,0.0030773508288763564,0.0011374300711616482,0.0013747527909713888
Celo,CELO,2.52,0.022,0.037,-0.076,46620149.0,1074226736.0,2022-03-16,6.11394204059631e-05,0.0008046979180749758,0.0012995375617847944
Kadena,KDA,6.23,0.024,0.009,0.031,58659719.0,1061714057.0,2022-03-16,0.00015115023383441517,0.00101250971450484,0.0012834132177644507
Chiliz,CHZ,0.198241,0.026,0.024,0.02,109408277.0,1049331415.0,2022-03-16,4.809658633771891e-06,0.001888466995720461,0.001267456444679426
