coin,symbol,price,change_1h,change_24h,change_7d,volume_24h,market_cap,date,price_normalized,volume_24h_normalized,market_cap_normalized,liquidity_ratio,volatility_score,avg_abs_change,turnover_rate,market_dominance,momentum_short,momentum_medium,momentum_long,momentum_consistency,liquidity_class
FTX Token,FTT,42.37,0.02,0.024,0.045,91093038.0,5803217982.0,2022-03-16,0.0010279671603315,0.0015723325558166,0.0073935068644175,0.015696987134128988,0.013428824718989122,0.029666666666666664,0.0015723325558166846,0.15453389118635558,0.02,0.024,0.045,1,Medium
Bitcoin Cash,BCH,295.57,0.018,0.015,0.039,1378527955.0,5613130722.0,2022-03-16,0.0071710232142625,0.0237944021885613,0.0071485527363587,0.24558985408927378,0.013076696830622021,0.024000000000000004,0.023794402188561298,0.14947205755476267,0.018,0.015,0.039,1,High
LEO Token,LEO,5.97,0.0069999999999999,0.01,0.055,831673.0,5547865232.0,2022-03-16,0.0001448421983919,1.4355285128307275e-05,0.0070644489874,0.00014990865228717583,0.026888659319497535,0.023999999999999966,1.4355285128307275e-05,0.14773410282668467,0.0069999999999999,0.01,0.055,1,Low
OKB,OKB,19.05,0.013,0.039,0.072,180398248.0,4944831000.0,2022-03-16,0.0004621849044955,0.0031138058908814,0.0062873546966561,0.03648218675218627,0.02956912804486012,0.04133333333333333,0.003113805890881498,0.13167590431017484,0.013,0.039,0.072,1,Medium
Algorand,ALGO,0.731009,0.025,0.0139999999999999,-0.01,151572159.0,4824820884.0,2022-03-16,1.773550258219495e-05,0.0026162464814393,0.0061327048094253,0.03141508516982285,0.01789785834487839,0.0163333333333333,0.0026162464814393706,0.12848015494064755,0.025,0.0139999999999999,-0.01,0,Medium
Stellar,XLM,0.186969,0.017,0.026,0.079,257508818.0,4584325546.0,2022-03-16,4.536181035667979e-06,0.0044447908077373,0.0058227927941645,0.05617158192979692,0.03350124375800596,0.04066666666666666,0.0044447908077373975,0.12207600460395635,0.017,0.026,0.079,1,Medium
Uniswap,UNI,9.05,0.032,0.04,0.025,188489995.0,4103226435.0,2022-03-16,0.0002195681567099,0.0032534753707986,0.0052028290299182,0.04593702004651859,0.007505553499465135,0.03233333333333333,0.0032534753707986344,0.10926481641496744,0.032,0.04,0.025,1,Medium
Hedera,HBAR,0.200008,0.012,-0.0069999999999999,-0.024,65559083.0,3922919996.0,2022-03-16,4.852529013105604e-06,0.0011315977904962,0.0049704788632178,0.01671180729325279,0.018009256878986798,0.0143333333333333,0.0011315977904962195,0.1044634362650144,0.012,-0.0069999999999999,-0.024,0,Medium
Axie Infinity,AXS,50.46,0.036,0.062,0.089,288996469.0,3733676299.0,2022-03-16,0.00122424410929,0.0049882907267267,0.0047266117845443,0.07740265782478321,0.026501572280401276,0.06233333333333333,0.004988290726726748,0.09942406587248213,0.036,0.062,0.089,1,Medium
Decentraland,MANA,2.43,0.021,0.065,0.0139999999999999,481292822.0,3652548066.0,2022-03-16,5.895586967589284e-05,0.0083074666245238,0.0046220666636589,0.13176905910702394,0.027646579052991987,0.033333333333333305,0.00830746662452387,0.09726370216230447,0.021,0.065,0.0139999999999999,1,High
Ethereum Classic,ETC,26.93,0.0279999999999999,0.031,0.01,315618129.0,3573077723.0,2022-03-16,0.0006533669017505,0.0054478000770229,0.0045196579668525,0.08833228758735288,0.011357816691600525,0.022999999999999965,0.005447800077022901,0.09514748640480643,0.0279999999999999,0.031,0.01,1,High
Elrond,EGLD,162.55,0.025,0.049,0.2289999999999999,318813970.0,3550487729.0,2022-03-16,0.0039437352352186,0.0055029626334359,0.0044905475873188,0.08979441539706276,0.11149887891813078,0.10099999999999998,0.00550296263343598,0.09454593745635674,0.025,0.049,0.2289999999999999,1,High
